VFD Motor Startup Simulation Data
Generated:,2025-10-10 12:38:24
Motor Rating:,800 HP
Load Type:,constant_torque

Time (s),Frequency (Hz),Speed (RPM),Slip (%),Torque (Nm),Load Torque (Nm),Current (A),Power Output (kW),Power Input (kW),Efficiency (%)
0.721,1.44,19.4,55.23,260.5,752.5,278.0,1.53,194.94,0.8
0.751,1.50,18.4,59.12,262.0,751.6,278.1,1.45,195.02,0.7
0.781,1.56,17.5,62.70,263.8,750.7,278.3,1.37,195.11,0.7
0.811,1.62,16.5,66.00,265.9,749.9,278.4,1.30,195.21,0.7
0.841,1.68,15.6,69.06,268.2,749.0,278.6,1.22,195.33,0.6
0.871,1.74,14.7,71.89,270.8,748.1,278.8,1.15,195.46,0.6
0.901,1.80,13.8,74.52,273.6,747.2,279.0,1.08,195.61,0.6
0.931,1.86,12.9,76.96,276.7,746.4,279.2,1.01,195.77,0.5
0.961,1.92,12.0,79.24,280.0,745.5,279.5,0.93,195.94,0.5
0.991,1.98,11.1,81.37,283.4,744.7,279.7,0.86,196.12,0.4
1.021,2.04,10.2,83.36,287.0,743.8,280.0,0.79,196.32,0.4
1.051,2.10,9.3,85.22,290.7,743.0,280.3,0.73,196.52,0.4
1.081,2.16,8.5,86.96,294.6,742.2,280.6,0.66,196.73,0.3
1.111,2.22,7.6,88.59,298.5,741.4,280.9,0.59,196.96,0.3
1.141,2.28,6.8,90.13,302.6,740.5,281.2,0.52,197.19,0.3
1.171,2.34,5.9,91.57,306.8,739.8,281.6,0.46,197.43,0.2
1.201,2.40,5.1,92.92,311.1,739.0,281.9,0.39,197.67,0.2
1.231,2.46,4.3,94.20,315.4,738.2,282.3,0.33,197.93,0.2
1.261,2.52,3.5,95.40,319.9,737.4,282.7,0.27,198.19,0.1
1.291,2.58,2.7,96.53,324.4,736.7,283.1,0.21,198.46,0.1
1.321,2.64,1.9,97.60,328.9,735.9,283.5,0.15,198.74,0.1
1.351,2.70,1.1,98.61,333.5,735.2,283.9,0.09,199.02,0.0
1.381,2.76,0.4,99.56,338.2,734.5,284.3,0.03,199.32,0.0
1.411,2.82,-0.4,100.00,344.1,734.1,284.8,-0.03,199.69,-0.0
1.441,2.88,-1.1,100.00,351.1,734.1,285.5,-0.09,200.14,-0.0
1.471,2.94,-1.8,100.00,358.1,734.1,286.1,-0.14,200.60,-0.1
1.502,3.00,-2.6,100.00,365.1,734.1,286.8,-0.20,201.06,-0.1
1.532,3.06,-3.3,100.00,372.0,734.1,287.4,-0.25,201.54,-0.1
1.562,3.12,-3.9,100.00,379.0,734.1,288.1,-0.30,202.02,-0.2
1.592,3.18,-4.6,100.00,385.9,734.1,288.8,-0.35,202.50,-0.2
1.622,3.24,-5.3,100.00,392.9,734.1,289.5,-0.41,202.99,-0.2
1.652,3.30,-5.9,100.00,399.8,734.1,290.2,-0.45,203.49,-0.2
1.682,3.36,-6.5,100.00,406.7,734.1,291.0,-0.50,204.00,-0.2
1.712,3.42,-7.2,100.00,413.5,734.1,291.7,-0.55,204.51,-0.3
1.742,3.48,-7.8,100.00,420.4,734.1,292.4,-0.60,205.03,-0.3
1.772,3.54,-8.4,100.00,427.3,734.1,293.2,-0.64,205.55,-0.3
1.802,3.60,-8.9,100.00,434.1,734.1,293.9,-0.69,206.08,-0.3
1.832,3.66,-9.5,100.00,440.9,734.1,294.7,-0.73,206.62,-0.4
1.862,3.72,-10.0,100.00,447.8,734.1,295.5,-0.77,207.16,-0.4
1.892,3.78,-10.6,100.00,454.6,734.1,296.2,-0.81,207.71,-0.4
1.922,3.84,-11.1,100.00,461.4,734.1,297.0,-0.85,208.26,-0.4
1.952,3.90,-11.6,100.00,468.1,734.1,297.8,-0.89,208.82,-0.4
1.982,3.96,-12.1,100.00,474.9,734.1,298.6,-0.93,209.39,-0.4
2.012,4.02,-12.6,100.00,481.6,734.1,299.5,-0.97,209.96,-0.5
2.042,4.08,-13.1,100.00,488.4,734.1,300.3,-1.00,210.54,-0.5
2.072,4.14,-13.5,100.00,495.1,734.1,301.1,-1.04,211.12,-0.5
2.102,4.20,-14.0,100.00,501.8,734.1,301.9,-1.07,211.70,-0.5
2.132,4.26,-14.4,100.00,508.5,734.1,302.8,-1.11,212.29,-0.5
2.162,4.32,-14.8,100.00,515.2,734.1,303.6,-1.14,212.89,-0.5
2.192,4.38,-15.2,100.00,521.9,734.1,304.5,-1.17,213.49,-0.5
2.222,4.44,-15.6,100.00,528.5,734.1,305.4,-1.20,214.10,-0.6
2.252,4.50,-16.0,100.00,535.2,734.1,306.2,-1.23,214.71,-0.6
2.282,4.56,-16.4,100.00,541.8,734.1,307.1,-1.26,215.32,-0.6
2.312,4.62,-16.7,100.00,548.4,734.1,308.0,-1.29,215.94,-0.6
2.342,4.68,-17.1,100.00,555.0,734.1,308.9,-1.31,216.57,-0.6
2.372,4.74,-17.4,100.00,561.6,734.1,309.8,-1.34,217.19,-0.6
2.402,4.80,-17.7,100.00,568.2,734.1,310.7,-1.36,217.83,-0.6
2.432,4.86,-18.0,100.00,574.8,734.1,311.6,-1.38,218.46,-0.6
2.462,4.92,-18.3,100.00,581.3,734.1,312.5,-1.41,219.10,-0.6
2.492,4.98,-18.6,100.00,587.8,734.1,313.4,-1.43,219.75,-0.7
2.523,5.05,-18.9,100.00,594.4,734.1,314.3,-1.45,220.40,-0.7
2.553,5.11,-19.1,100.00,600.9,734.1,315.3,-1.47,221.05,-0.7
2.583,5.17,-19.3,100.00,607.4,734.1,316.2,-1.49,221.71,-0.7
2.613,5.23,-19.6,100.00,613.9,734.1,317.2,-1.50,222.37,-0.7
2.643,5.29,-19.8,100.00,620.3,734.1,318.1,-1.52,223.03,-0.7
2.673,5.35,-20.0,100.00,626.8,734.1,319.1,-1.54,223.70,-0.7
2.703,5.41,-20.2,100.00,633.2,734.1,320.0,-1.55,224.37,-0.7
2.733,5.47,-20.4,100.00,639.7,734.1,321.0,-1.57,225.05,-0.7
2.763,5.53,-20.5,100.00,646.1,734.1,321.9,-1.58,225.73,-0.7
2.793,5.59,-20.7,100.00,652.5,734.1,322.9,-1.59,226.41,-0.7
2.823,5.65,-20.8,100.00,658.9,734.1,323.9,-1.60,227.09,-0.7
2.853,5.71,-21.0,100.00,665.3,734.1,324.9,-1.61,227.78,-0.7
2.883,5.77,-21.1,100.00,671.6,734.1,325.9,-1.62,228.47,-0.7
2.913,5.83,-21.2,100.00,678.0,734.1,326.8,-1.63,229.16,-0.7
2.943,5.89,-21.3,100.00,684.3,734.1,327.8,-1.63,229.86,-0.7
2.973,5.95,-21.3,100.00,690.6,734.1,328.8,-1.64,230.56,-0.7
3.003,6.01,-21.4,100.00,696.9,734.1,329.8,-1.65,231.26,-0.7
3.033,6.07,-21.5,100.00,703.2,734.1,330.8,-1.65,231.97,-0.7
3.063,6.13,-21.5,100.00,709.5,734.1,331.9,-1.65,232.68,-0.7
3.093,6.19,-21.6,100.00,715.8,734.1,332.9,-1.66,233.39,-0.7
3.123,6.25,-21.6,100.00,722.1,734.1,333.9,-1.66,234.10,-0.7
3.153,6.31,-21.6,100.00,728.3,734.1,334.9,-1.66,234.81,-0.7
3.183,6.37,-21.6,100.00,734.5,734.1,335.9,-1.66,235.53,-0.7
3.213,6.43,-21.6,100.00,740.8,734.1,337.0,-1.66,236.25,-0.7
3.243,6.49,-21.5,100.00,747.0,734.1,338.0,-1.66,236.98,-0.7
3.273,6.55,-21.5,100.00,753.2,734.1,339.0,-1.65,237.70,-0.7
3.303,6.61,-21.4,100.00,759.3,734.1,340.1,-1.65,238.43,-0.7
3.333,6.67,-21.4,100.00,765.5,734.1,341.1,-1.64,239.16,-0.7
3.363,6.73,-21.3,100.00,771.6,734.1,342.1,-1.64,239.89,-0.7
3.393,6.79,-21.2,100.00,777.8,734.1,343.2,-1.63,240.62,-0.7
3.423,6.85,-21.1,100.00,783.9,734.1,344.2,-1.62,241.36,-0.7
3.453,6.91,-21.0,100.00,790.0,734.1,345.3,-1.62,242.09,-0.7
3.483,6.97,-20.9,100.00,796.1,734.1,346.3,-1.61,242.83,-0.7
3.514,7.03,-20.8,100.00,802.2,734.1,347.4,-1.60,243.57,-0.7
3.544,7.09,-20.6,100.00,808.3,734.1,348.5,-1.58,244.32,-0.6
3.574,7.15,-20.5,100.00,814.3,734.1,349.5,-1.57,245.06,-0.6
3.604,7.21,-20.3,100.00,820.4,734.1,350.6,-1.56,245.81,-0.6
3.634,7.27,-20.1,100.00,826.4,734.1,351.6,-1.55,246.55,-0.6
3.664,7.33,-19.9,100.00,832.4,734.1,352.7,-1.53,247.30,-0.6
3.694,7.39,-19.7,100.00,838.4,734.1,353.8,-1.52,248.05,-0.6
3.724,7.45,-19.5,100.00,844.4,734.1,354.9,-1.50,248.80,-0.6
3.754,7.51,-19.3,100.00,850.4,734.1,355.9,-1.48,249.56,-0.6
3.784,7.57,-19.0,100.00,856.4,734.1,357.0,-1.46,250.31,-0.6
3.814,7.63,-18.8,100.00,862.3,734.1,358.1,-1.45,251.07,-0.6
3.844,7.69,-18.5,100.00,868.3,734.1,359.2,-1.43,251.83,-0.6
3.874,7.75,-18.3,100.00,874.2,734.1,360.3,-1.40,252.58,-0.6
3.904,7.81,-18.0,100.00,880.1,734.1,361.3,-1.38,253.34,-0.5
3.934,7.87,-17.7,100.00,886.0,734.1,362.4,-1.36,254.10,-0.5
3.964,7.93,-17.4,100.00,891.9,734.1,363.5,-1.34,254.87,-0.5
3.994,7.99,-17.1,100.00,897.8,734.1,364.6,-1.31,255.63,-0.5
4.024,8.05,-16.8,100.00,903.6,734.1,365.7,-1.29,256.39,-0.5
4.054,8.11,-16.4,100.00,909.5,734.1,366.8,-1.26,257.16,-0.5
4.084,8.17,-16.1,100.00,915.3,734.1,367.9,-1.24,257.92,-0.5
4.114,8.23,-15.7,100.00,921.1,734.1,369.0,-1.21,258.69,-0.5
4.144,8.29,-15.3,100.00,926.9,734.1,370.1,-1.18,259.46,-0.5
4.174,8.35,-15.0,100.00,932.7,734.1,371.1,-1.15,260.22,-0.4
4.204,8.41,-14.6,100.00,938.5,734.1,372.2,-1.12,260.99,-0.4
4.234,8.47,-14.2,100.00,944.3,734.1,373.3,-1.09,261.76,-0.4
4.264,8.53,-13.8,100.00,950.0,734.1,374.4,-1.06,262.53,-0.4
4.294,8.59,-13.3,100.00,955.8,734.1,375.5,-1.03,263.30,-0.4
4.324,8.65,-12.9,100.00,961.5,734.1,376.6,-0.99,264.07,-0.4
4.354,8.71,-12.5,100.00,967.2,734.1,377.7,-0.96,264.85,-0.4
4.384,8.77,-12.0,100.00,972.9,734.1,378.8,-0.92,265.62,-0.3
4.414,8.83,-11.5,100.00,978.6,734.1,379.9,-0.89,266.39,-0.3
4.444,8.89,-11.1,100.00,984.3,734.1,381.0,-0.85,267.16,-0.3
4.474,8.95,-10.6,100.00,989.9,734.1,382.1,-0.81,267.94,-0.3
4.505,9.01,-10.1,100.00,995.7,734.1,383.3,-0.77,268.73,-0.3
4.535,9.07,-9.6,100.00,1002.4,734.1,384.6,-0.73,269.64,-0.3
4.565,9.13,-9.0,100.00,1009.0,734.1,385.9,-0.69,270.56,-0.3
4.595,9.19,-8.5,100.00,1015.6,734.1,387.2,-0.65,271.48,-0.2
4.625,9.25,-8.0,100.00,1022.3,734.1,388.5,-0.61,272.40,-0.2
4.655,9.31,-7.4,100.00,1028.9,734.1,389.8,-0.57,273.32,-0.2
4.685,9.37,-6.8,100.00,1035.6,734.1,391.2,-0.52,274.25,-0.2
4.715,9.43,-6.2,100.00,1042.2,734.1,392.5,-0.48,275.18,-0.2
4.745,9.49,-5.6,100.00,1048.8,734.1,393.8,-0.43,276.11,-0.2
4.775,9.55,-5.0,100.00,1055.5,734.1,395.1,-0.39,277.05,-0.1
4.805,9.61,-4.4,100.00,1062.1,734.1,396.5,-0.34,277.99,-0.1
4.835,9.67,-3.8,100.00,1068.8,734.1,397.8,-0.29,278.93,-0.1
4.865,9.73,-3.1,100.00,1075.4,734.1,399.2,-0.24,279.87,-0.1
4.895,9.79,-2.5,100.00,1082.0,734.1,400.5,-0.19,280.82,-0.1
4.925,9.85,-1.8,100.00,1088.7,734.1,401.9,-0.14,281.77,-0.0
4.955,9.91,-1.1,100.00,1095.3,734.1,403.2,-0.08,282.72,-0.0
4.985,9.97,-0.4,100.00,1101.9,734.1,404.6,-0.03,283.67,-0.0
5.015,10.03,0.3,99.90,1109.4,734.4,406.1,0.02,284.75,0.0
5.045,10.09,1.0,99.66,1118.1,735.1,407.9,0.08,286.00,0.0
5.075,10.15,1.8,99.42,1126.7,735.8,409.7,0.14,287.26,0.0
5.105,10.21,2.5,99.18,1135.5,736.5,411.5,0.19,288.53,0.1
5.135,10.27,3.3,98.93,1144.3,737.2,413.3,0.25,289.81,0.1
5.165,10.33,4.1,98.69,1153.1,738.0,415.2,0.31,291.11,0.1
5.195,10.39,4.9,98.44,1162.0,738.8,417.1,0.38,292.41,0.1
5.225,10.45,5.7,98.19,1170.9,739.5,418.9,0.44,293.73,0.1
5.255,10.51,6.5,97.93,1179.9,740.3,420.8,0.51,295.06,0.2
5.285,10.57,7.4,97.68,1188.9,741.1,422.7,0.57,296.40,0.2
5.315,10.63,8.2,97.42,1198.0,741.9,424.7,0.64,297.75,0.2
5.345,10.69,9.1,97.16,1207.2,742.8,426.6,0.71,299.11,0.2
5.375,10.75,10.0,96.90,1216.3,743.6,428.6,0.78,300.49,0.3
5.405,10.81,10.9,96.64,1225.6,744.5,430.6,0.85,301.88,0.3
5.435,10.87,11.8,96.37,1234.9,745.4,432.6,0.92,303.28,0.3
5.465,10.93,12.8,96.11,1244.2,746.3,434.6,1.00,304.69,0.3
5.495,10.99,13.7,95.84,1253.7,747.2,436.6,1.07,306.12,0.4
5.526,11.05,14.7,95.57,1263.1,748.1,438.7,1.15,307.55,0.4
5.556,11.11,15.7,95.30,1272.6,749.0,440.7,1.23,309.00,0.4
5.586,11.17,16.7,95.02,1282.2,750.0,442.8,1.31,310.47,0.4
5.616,11.23,17.7,94.75,1291.8,751.0,444.9,1.39,311.94,0.4
5.646,11.29,18.7,94.47,1301.5,751.9,447.0,1.47,313.43,0.5
5.676,11.35,19.8,94.19,1311.3,752.9,449.2,1.56,314.93,0.5
5.706,11.41,20.9,93.91,1321.1,754.0,451.3,1.65,316.45,0.5
5.736,11.47,21.9,93.63,1331.0,755.0,453.5,1.73,317.98,0.5
5.766,11.53,23.0,93.34,1340.9,756.0,455.7,1.82,319.52,0.6
5.796,11.59,24.2,93.05,1350.9,757.1,457.9,1.91,321.08,0.6
5.826,11.65,25.3,92.77,1361.0,758.2,460.2,2.01,322.64,0.6
5.856,11.71,26.4,92.48,1371.1,759.3,462.4,2.10,324.23,0.6
5.886,11.77,27.6,92.18,1381.2,760.4,464.7,2.20,325.82,0.7
5.916,11.83,28.8,91.89,1391.5,761.5,467.0,2.30,327.43,0.7
5.946,11.89,30.0,91.59,1401.8,762.7,469.3,2.40,329.06,0.7
5.976,11.95,31.2,91.30,1412.2,763.8,471.7,2.50,330.70,0.8
6.006,12.01,32.4,91.00,1422.6,765.0,474.0,2.60,332.35,0.8
6.036,12.07,33.7,90.70,1433.1,766.2,476.4,2.70,334.02,0.8
6.066,12.13,35.0,90.39,1443.7,767.4,478.8,2.81,335.70,0.8
6.096,12.19,36.3,90.09,1454.3,768.6,481.2,2.92,337.40,0.9
6.126,12.25,37.6,89.78,1465.1,769.9,483.7,3.03,339.11,0.9
6.156,12.31,38.9,89.47,1475.8,771.1,486.1,3.14,340.84,0.9
6.186,12.37,40.2,89.16,1486.7,772.4,488.6,3.25,342.58,0.9
6.216,12.43,41.6,88.85,1497.6,773.7,491.1,3.37,344.34,1.0
6.246,12.49,43.0,88.54,1508.6,775.0,493.7,3.49,346.12,1.0
6.276,12.55,44.4,88.22,1519.7,776.3,496.2,3.61,347.91,1.0
6.306,12.61,45.8,87.90,1530.9,777.7,498.8,3.73,349.71,1.1
6.336,12.67,47.2,87.59,1542.1,779.0,501.4,3.85,351.54,1.1
6.366,12.73,48.6,87.26,1553.4,780.4,504.0,3.98,353.37,1.1
6.396,12.79,50.1,86.94,1564.8,781.8,506.6,4.10,355.23,1.2
6.426,12.85,51.6,86.62,1576.2,783.2,509.3,4.23,357.10,1.2
6.456,12.91,53.1,86.29,1587.8,784.6,512.0,4.36,358.99,1.2
6.486,12.97,54.6,85.96,1599.4,786.1,514.7,4.50,360.89,1.2
6.517,13.03,56.2,85.63,1611.1,787.6,517.5,4.63,362.82,1.3
6.547,13.09,57.7,85.30,1622.9,789.1,520.2,4.77,364.76,1.3
6.577,13.15,59.3,84.97,1634.7,790.6,523.0,4.91,366.71,1.3
6.607,13.21,60.9,84.63,1646.7,792.1,525.8,5.05,368.69,1.4
6.637,13.27,62.5,84.30,1658.7,793.6,528.7,5.20,370.68,1.4
6.667,13.33,64.2,83.96,1670.8,795.2,531.6,5.34,372.69,1.4
6.697,13.39,65.8,83.62,1683.0,796.8,534.5,5.49,374.72,1.5
6.727,13.45,67.5,83.27,1695.3,798.4,537.4,5.64,376.77,1.5
6.757,13.51,69.2,82.93,1707.7,800.0,540.3,5.80,378.84,1.5
6.787,13.57,70.9,82.58,1720.2,801.6,543.3,5.95,380.92,1.6
6.817,13.63,72.7,82.24,1732.8,803.3,546.3,6.11,383.03,1.6
6.847,13.69,74.4,81.89,1745.5,804.9,549.3,6.27,385.15,1.6
6.877,13.75,76.2,81.53,1758.2,806.6,552.4,6.44,387.30,1.7
6.907,13.81,78.0,81.18,1771.1,808.3,555.5,6.60,389.46,1.7
6.937,13.87,79.8,80.82,1784.0,810.1,558.6,6.77,391.65,1.7
6.967,13.93,81.7,80.47,1797.1,811.8,561.7,6.94,393.85,1.8
6.997,13.99,83.5,80.11,1810.2,813.6,564.9,7.12,396.08,1.8
7.027,14.05,85.4,79.75,1823.5,815.4,568.1,7.29,398.32,1.8
7.057,14.11,87.3,79.38,1836.9,817.2,571.3,7.47,400.59,1.9
7.087,14.17,89.2,79.02,1850.3,819.0,574.6,7.65,402.88,1.9
7.117,14.23,91.2,78.65,1863.9,820.9,577.9,7.84,405.19,1.9
7.147,14.29,93.1,78.28,1877.6,822.8,581.2,8.02,407.52,2.0
7.177,14.35,95.1,77.91,1891.3,824.6,584.6,8.22,409.87,2.0
7.207,14.41,97.1,77.54,1905.2,826.6,588.0,8.41,412.25,2.0
7.237,14.47,99.2,77.16,1919.2,828.5,591.4,8.60,414.65,2.1
7.267,14.53,101.2,76.78,1933.4,830.5,594.9,8.80,417.07,2.1
7.297,14.59,103.3,76.40,1947.6,832.4,598.3,9.01,419.52,2.1
7.327,14.65,105.4,76.02,1961.9,834.4,601.9,9.21,421.99,2.2
7.357,14.71,107.5,75.64,1976.4,836.5,605.4,9.42,424.48,2.2
7.387,14.77,109.7,75.25,1991.0,838.5,609.0,9.63,427.00,2.3
7.417,14.83,111.9,74.87,2005.7,840.6,612.6,9.85,429.54,2.3
7.447,14.89,114.1,74.48,2020.5,842.7,616.3,10.06,432.11,2.3
7.477,14.95,116.3,74.08,2035.5,844.8,620.0,10.29,434.70,2.4
7.508,15.02,118.5,73.69,2050.6,846.9,623.7,10.51,437.32,2.4
7.538,15.08,120.8,73.29,2065.8,849.1,627.5,10.74,439.96,2.4
7.568,15.14,123.1,72.90,2081.1,851.2,631.3,10.97,442.63,2.5
7.598,15.20,125.4,72.49,2096.6,853.4,635.1,11.21,445.32,2.5
7.628,15.26,127.7,72.09,2112.2,855.7,639.0,11.44,448.04,2.6
7.658,15.32,130.1,71.69,2127.9,857.9,642.9,11.69,450.79,2.6
7.688,15.38,132.5,71.28,2143.8,860.2,646.9,11.93,453.57,2.6
7.718,15.44,134.9,70.87,2159.8,862.5,650.9,12.18,456.37,2.7
7.748,15.50,137.3,70.46,2175.9,864.8,654.9,12.44,459.21,2.7
7.778,15.56,139.8,70.04,2192.2,867.1,659.0,12.69,462.07,2.7
7.808,15.62,142.3,69.63,2208.6,869.5,663.2,12.96,464.96,2.8
7.838,15.68,144.8,69.21,2225.2,871.9,667.3,13.22,467.88,2.8
7.868,15.74,147.3,68.79,2241.9,874.3,671.5,13.49,470.82,2.9
7.898,15.80,149.9,68.37,2258.8,876.8,675.8,13.76,473.80,2.9
7.928,15.86,152.5,67.94,2275.8,879.2,680.1,14.04,476.81,2.9
7.958,15.92,155.1,67.51,2293.0,881.7,684.4,14.32,479.85,3.0
7.988,15.98,157.8,67.08,2310.4,884.3,688.8,14.61,482.92,3.0
8.018,16.04,160.5,66.65,2327.9,886.8,693.2,14.90,486.02,3.1
8.048,16.10,163.2,66.21,2345.5,889.4,697.7,15.20,489.16,3.1
8.078,16.16,165.9,65.77,2363.3,892.0,702.2,15.50,492.32,3.1
8.108,16.22,168.7,65.33,2381.3,894.6,706.7,15.80,495.52,3.2
8.138,16.28,171.4,64.89,2399.4,897.3,711.3,16.11,498.75,3.2
8.168,16.34,174.3,64.44,2417.7,899.9,716.0,16.42,502.01,3.3
8.198,16.40,177.1,64.00,2436.2,902.7,720.7,16.74,505.31,3.3
8.228,16.46,180.0,63.54,2454.9,905.4,725.5,17.06,508.64,3.4
8.258,16.52,182.9,63.09,2473.7,908.2,730.3,17.39,512.01,3.4
8.288,16.58,185.8,62.63,2492.7,910.9,735.1,17.73,515.41,3.4
8.318,16.64,188.8,62.18,2511.8,913.8,740.0,18.06,518.85,3.5
8.348,16.70,191.8,61.71,2531.2,916.6,745.0,18.41,522.32,3.5
8.378,16.76,194.8,61.25,2550.7,919.5,750.0,18.76,525.82,3.6
8.408,16.82,197.9,60.78,2570.4,922.4,755.0,19.11,529.36,3.6
8.438,16.88,200.9,60.31,2590.3,925.3,760.1,19.47,532.94,3.7
8.468,16.94,204.1,59.84,2610.3,928.3,765.3,19.84,536.56,3.7
8.498,17.00,207.2,59.36,2630.6,931.3,770.5,20.21,540.21,3.7
8.529,17.06,210.4,58.88,2651.0,934.3,775.7,20.59,543.90,3.8
8.559,17.12,213.6,58.40,2671.7,937.4,781.0,20.97,547.62,3.8
8.589,17.18,216.9,57.92,2692.5,940.5,786.4,21.36,551.38,3.9
8.619,17.24,220.1,57.43,2713.5,943.6,791.8,21.75,555.18,3.9
8.649,17.30,223.4,56.94,2734.6,946.8,797.3,22.15,559.02,4.0
8.679,17.36,226.8,56.45,2756.0,949.9,802.8,22.56,562.89,4.0
8.709,17.42,230.2,55.95,2777.6,953.2,808.4,22.97,566.81,4.1
8.739,17.48,233.6,55.45,2799.3,956.4,814.0,23.39,570.76,4.1
8.769,17.54,237.0,54.95,2821.3,959.7,819.7,23.82,574.74,4.1
8.799,17.60,240.5,54.44,2843.4,963.0,825.5,24.25,578.77,4.2
8.829,17.66,244.0,53.93,2865.7,966.3,831.3,24.69,582.83,4.2
8.859,17.72,247.6,53.42,2888.2,969.7,837.1,25.14,586.93,4.3
8.889,17.78,251.2,52.91,2910.9,973.1,843.0,25.60,591.07,4.3
8.919,17.84,254.8,52.39,2933.7,976.6,849.0,26.06,595.24,4.4
8.949,17.90,258.4,51.87,2956.8,980.1,855.0,26.52,599.45,4.4
8.979,17.96,262.1,51.34,2980.0,983.6,861.0,27.00,603.69,4.5
9.009,18.02,265.9,50.81,3003.4,987.1,867.1,27.48,607.97,4.5
9.039,18.08,269.6,50.28,3026.9,990.7,873.3,27.97,612.28,4.6
9.069,18.14,273.4,49.75,3050.6,994.3,879.5,28.47,616.62,4.6
9.099,18.20,277.3,49.21,3074.5,998.0,885.7,28.98,621.00,4.7
9.129,18.26,281.2,48.67,3098.5,1001.7,892.0,29.49,625.40,4.7
9.159,18.32,285.1,48.13,3122.7,1005.4,898.3,30.01,629.84,4.8
9.189,18.38,289.0,47.58,3147.0,1009.2,904.7,30.54,634.30,4.8
9.219,18.44,293.0,47.03,3171.4,1013.0,911.1,31.08,638.79,4.9
9.249,18.50,297.0,46.47,3195.9,1016.8,917.5,31.63,643.30,4.9
9.279,18.56,301.1,45.92,3220.5,1020.7,924.0,32.18,647.83,5.0
9.309,18.62,305.2,45.36,3245.3,1024.6,930.5,32.75,652.39,5.0
9.339,18.68,309.4,44.79,3270.1,1028.5,937.0,33.32,656.96,5.1
9.369,18.74,313.5,44.23,3294.9,1032.5,943.5,33.90,661.54,5.1
9.399,18.80,317.8,43.66,3319.8,1036.5,950.1,34.49,666.14,5.2
9.429,18.86,322.0,43.08,3344.7,1040.5,956.6,35.09,670.74,5.2
9.459,18.92,326.3,42.51,3369.6,1044.6,963.2,35.70,675.34,5.3
9.489,18.98,330.6,41.93,3394.5,1048.8,969.8,36.31,679.94,5.3
9.520,19.04,335.0,41.35,3419.4,1052.9,976.3,36.94,684.54,5.4
9.550,19.10,339.4,40.76,3444.1,1057.1,982.9,37.57,689.12,5.5
9.580,19.16,343.9,40.17,3468.8,1061.3,989.4,38.22,693.69,5.5
9.610,19.22,348.3,39.58,3493.3,1065.6,995.9,38.87,698.23,5.6
9.640,19.28,352.9,38.99,3517.7,1069.9,1002.3,39.54,702.75,5.6
9.670,19.34,357.4,38.39,3541.8,1074.2,1008.7,40.21,707.23,5.7
9.700,19.40,362.0,37.80,3565.7,1078.6,1015.0,40.89,711.66,5.7
9.730,19.46,366.6,37.20,3589.3,1083.0,1021.3,41.58,716.04,5.8
9.760,19.52,371.3,36.59,3612.6,1087.5,1027.4,42.28,720.36,5.9
9.790,19.58,376.0,35.99,3635.5,1091.9,1033.5,42.99,724.61,5.9
9.820,19.64,380.7,35.38,3657.9,1096.4,1039.4,43.71,728.78,6.0
